aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,현대,11110-90,0082,0000,2000, , , ,"52,000",28,1,2006, , ,114.9,10,82,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"15,950",28,1,2006, , ,54.7,9,702,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"24,000",24,1,2006, , ,60,3,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"19,200",23,1,2006, , ,79.87,12,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"28,000",20,1,2006, , ,106.62,7,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"16,500",19,1,2006, , ,64.66,11,703,1,N, 
 ,일성빌라트,11110-77,0145,0005,1996, , , ,"17,500",24,1,2006, , ,59.82,1,145-5,1,N, 
 ,일성빌라트,11110-77,0145,0005,1996, , , ,"27,000",27,1,2006, , ,84.99,1,145-5,1,N, 
 ,일성빌라트,11110-77,0145,0005,1996, , , ,"33,500",31,1,2006, , ,84.99,4,145-5,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"56,500",27,1,2006, , ,114.9,9,82,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"15,741",9,1,2006, , ,57.18,12,30-6,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"23,198",10,1,2006, , ,84.26,6,30-6,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"21,535",20,1,2006, , ,78.23,15,30-6,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"41,500",17,1,2006, , ,84.92,9,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"26,700",18,1,2006, , ,60,13,82,1,N, 
 ,세종,11110-13,0100,0000,1983, , , ,"29,500",17,1,2006, , ,93.4,6,100,1,N, 
 ,대아파크빌,11110-86,0254,0000,1998, , , ,"16,000",16,1,2006, , ,59.22,9,254,1,N, 
