동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,현대,11110-90,82,0,2000, , ,"52,000", , ,114.9,10,82,1,N, ,2006-01-28
 ,창신쌍용1,11110-37,702,0,1992, , ,"15,950", , ,54.7,9,702,1,N, ,2006-01-28
 ,현대,11110-90,82,0,2000, , ,"24,000", , ,60.0,3,82,1,N, ,2006-01-24
 ,창신쌍용2,11110-91,703,0,1993, , ,"19,200", , ,79.87,12,703,1,N, ,2006-01-23
 ,창신쌍용2,11110-91,703,0,1993, , ,"28,000", , ,106.62,7,703,1,N, ,2006-01-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"16,500", , ,64.66,11,703,1,N, ,2006-01-19
 ,일성빌라트,11110-77,145,5,1996, , ,"17,500", , ,59.82,1,145-5,1,N, ,2006-01-24
 ,일성빌라트,11110-77,145,5,1996, , ,"27,000", , ,84.99,1,145-5,1,N, ,2006-01-27
 ,일성빌라트,11110-77,145,5,1996, , ,"33,500", , ,84.99,4,145-5,1,N, ,2006-01-31
 ,현대,11110-90,82,0,2000, , ,"56,500", , ,114.9,9,82,1,N, ,2006-01-27
 ,운현신화타워,11110-16,30,6,1998, , ,"15,741", , ,57.18,12,30-6,1,N, ,2006-01-09
 ,운현신화타워,11110-16,30,6,1998, , ,"23,198", , ,84.26,6,30-6,1,N, ,2006-01-10
 ,운현신화타워,11110-16,30,6,1998, , ,"21,535", , ,78.23,15,30-6,1,N, ,2006-01-20
 ,현대,11110-90,82,0,2000, , ,"41,500", , ,84.92,9,82,1,N, ,2006-01-17
 ,현대,11110-90,82,0,2000, , ,"26,700", , ,60.0,13,82,1,N, ,2006-01-18
 ,세종,11110-13,100,0,1983, , ,"29,500", , ,93.4,6,100,1,N, ,2006-01-17
 ,대아파크빌,11110-86,254,0,1998, , ,"16,000", , ,59.22,9,254,1,N, ,2006-01-16
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"21,500", , ,47.43,6,237,1,N, ,2006-01-11
 ,현대,11110-90,82,0,2000, , ,"42,500", , ,84.92,20,82,1,N, ,2006-01-04
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"20,000", , ,44.37,8,237,1,N, ,2006-01-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"16,800", , ,54.7,8,702,1,N, ,2006-01-11
 ,대아파크빌,11110-86,254,0,1998, , ,"16,500", , ,59.22,13,254,1,N, ,2006-01-16
 ,운현신화타워,11110-16,30,6,1998, , ,"23,198", , ,84.26,14,30-6,1,N, ,2006-01-12
 ,하림빌라트,11110-131,473,0,1998, , ,"10,500", , ,47.63,4,473,1,N, ,2006-01-03
 ,현대,11110-90,82,0,2000, , ,"24,000", , ,60.0,1,82,1,N, ,2006-02-14
 ,창신이수,11110-42,23,816,2003, , ,"31,000", , ,84.5,19,23-816,1,N, ,2006-02-24
 ,현대,11110-90,82,0,2000, , ,"57,500", , ,114.9,12,82,1,N, ,2006-02-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"16,000", , ,64.66,9,703,1,N, ,2006-02-27
 ,두산,11110-34,232,0,1999, , ,"23,800", , ,59.95,6,232,1,N, ,2006-02-27
 ,현대,11110-90,82,0,2000, , ,"27,500", , ,60.0,14,82,1,N, ,2006-02-16
 ,삼성,11110-73,596,0,1998, , ,"24,300", , ,84.93,9,596,1,N, ,2006-02-17
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"30,000", , ,92.87,3,33-1,1,N, ,2006-02-14
 ,아남1,11110-25,4,0,1995, , ,"40,000", , ,84.8,4,4,1,N, ,2006-02-24
 ,두산,11110-34,232,0,1999, , ,"36,000", , ,84.9,9,232,1,N, ,2006-02-14
 ,두산,11110-34,232,0,1999, , ,"22,450", , ,59.95,6,232,1,N, ,2006-02-27
 ,일성빌라트,11110-77,145,5,1996, , ,"21,000", , ,59.82,2,145-5,1,N, ,2006-02-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"31,700", , ,106.62,9,702,1,N, ,2006-02-27
 ,현대,11110-90,82,0,2000, , ,"35,500", , ,84.92,5,82,1,N, ,2006-02-10
 ,창신쌍용1,11110-37,702,0,1992, , ,"31,700", , ,106.62,9,702,1,N, ,2006-02-27
 ,대아파크빌,11110-86,254,0,1998, , ,"15,200", , ,59.22,5,254,1,N, ,2006-02-14
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"23,500", , ,47.43,7,237,1,N, ,2006-02-15
 ,창신쌍용1,11110-37,702,0,1992, , ,"23,500", , ,79.87,13,702,1,N, ,2006-02-01
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,000", , ,79.87,1,702,1,N, ,2006-02-21
 ,대성아파트,11110-52,41,1,1971, , ,"2,300", , ,19.27,1,41-1,1,N, ,2006-02-27
 ,벽산블루밍평창힐스,11110-146,45,0,2004, , ,"58,900", , ,209.98,1,45,1,N, ,2006-02-27
 ,운현신화타워,11110-16,30,6,1998, , ,"24,813", , ,90.13,8,30-6,1,N, ,2006-02-10
 ,아남1,11110-25,4,0,1995, , ,"44,000", , ,84.9,16,4,1,N, ,2006-02-14
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,950", , ,79.87,11,702,1,N, ,2006-02-24
 ,창신쌍용1,11110-37,702,0,1992, , ,"16,250", , ,54.7,5,702,1,N, ,2006-02-12
 ,롯데낙천대,11110-71,72,0,2001, , ,"74,500", , ,133.34,4,72,1,N, ,2006-02-24
 ,창신쌍용1,11110-37,702,0,1992, , ,"21,000", , ,79.87,2,702,1,N, ,2006-02-14
 ,송림아마레스아파트,11110-121,9,1,2004, , ,"22,000", , ,84.42,6,9-1,1,N, ,2006-02-05
 ,운현신화타워,11110-16,30,6,1998, , ,"24,813", , ,90.13,8,30-6,1,N, ,2006-02-02
 ,아남2,11110-92,236,0,1996, , ,"24,100", , ,59.4,1,236,1,N, ,2006-02-15
 ,동대문,11110-30,328,17,1966, , ,"13,700", , ,28.8,4,328-17,1,N, ,2006-02-09
 ,창신쌍용1,11110-37,702,0,1992, , ,"24,500", , ,79.87,3,702,1,N, ,2006-02-20
 ,현대,11110-90,82,0,2000, , ,"46,000", , ,114.9,4,82,1,N, ,2006-02-20
 ,낙원,11110-17,288,0,1968, , ,"30,000", , ,108.89,9,288,1,N, ,2006-02-17
 ,아남1,11110-25,4,0,1995, , ,"41,000", , ,84.9,11,4,1,N, ,2006-02-16
 ,두산,11110-34,232,0,1999, , ,"20,500", , ,59.95,2,232,1,N, ,2006-02-02
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"31,000", , ,65.78,6,237,1,N, ,2006-02-08
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"38,000", , ,88.74,8,237,1,N, ,2006-02-08
 ,벽산블루밍평창힐스,11110-146,45,0,2004, , ,"93,000", , ,186.9,4,45,1,N, ,2006-02-02
 ,현대,11110-90,82,0,2000, , ,"53,700", , ,114.9,12,82,1,N, ,2006-03-16
 ,현대,11110-90,82,0,2000, , ,"59,900", , ,114.9,17,82,1,N, ,2006-03-23
 ,현대,11110-90,82,0,2000, , ,"54,800", , ,114.9,6,82,1,N, ,2006-03-27
 ,창신쌍용2,11110-91,703,0,1993, , ,"13,900", , ,54.7,9,703,1,N, ,2006-03-31
 ,롯데미도파광화문빌딩,11110-12,145,0,1981, , ,"50,000", , ,149.95,7,145,1,N, ,2006-03-13
 ,현대,11110-90,82,0,2000, , ,"42,800", , ,84.92,19,82,1,N, ,2006-03-24
 ,일성빌라트,11110-77,145,5,1996, , ,"23,950", , ,59.82,2,145-5,1,N, ,2006-03-31
 ,현대,11110-90,82,0,2000, , ,"56,000", , ,114.9,15,82,1,N, ,2006-03-27
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"105,000", , ,146.33,9,95,1,N, ,2006-03-22
